rank,uid,nickname,company,net_value,equity,net_profit,profit_rate,max_drawdown,credit_score,total_fee,option_profit,start_date,update_date,start_equity,source
38,41160,源泉1号,招金期货,1.0351,208900.0,6208.5,3.51,4.09,87.02,656.22,4205.0,2026-01-05,2026-02-13,106900.0,niumoney
39,41683,卫东1,徽商期货,0.7562,276300.0,-109700.0,-24.38,36.02,19.26,9875.73,3718.8,2026-01-06,2026-02-13,403000.0,niumoney
40,41061,红城,招金期货,0.6341,1252.42,-2983.57,-36.59,44.78,68.44,89.75,3650.0,2026-01-05,2026-02-24,7891.17,niumoney
41,42092,随缘1224,创元期货,1.0217,2790.57,14900.0,2.17,15.47,56.08,10058.26,3511.73,2026-01-05,2026-02-13,686900.0,niumoney
42,40285,一畅,长安期货,0.1967,119600.00000000001,-223100.0,-80.33,83.26,59.77,6011.55,3425.0,2026-01-05,2026-02-24,142500.0,niumoney
43,41588,五万到五百万,国信期货,1.0689,282.74,3120.0,6.89,43.89,85.63,0.0,3120.0,2026-01-05,2026-02-13,282.74,niumoney
44,40676,鼋石龟行,宝城期货,1.0808,4106100.0,306800.0,8.08,4.83,70.54,3643.31,2766.63,2026-01-05,2026-02-24,3439300.0,niumoney
45,40596,Danson,国贸期货,0.6085,1050.64,-2355.0,-39.15,59.91,68.06,5.0,2610.0,2026-01-05,2026-02-24,6015.64,niumoney
46,40912,骑牛回家,瑞龙期货,0.5259,571.68,-16400.0,-47.41,82.37,64.41,1204.9,2600.0,2026-01-05,2026-02-24,30200.0,niumoney
47,40532,一只小蜜蜂2,中国国际,1.1666,1281399.9999999998,305400.0,16.66,8.83,72.5,9652.31,2345.32,2026-01-06,2026-02-13,2370500.0,niumoney
48,38430,飞翎田勇,大越期货,0.8428,86300.00000000001,-16500.0,-15.72,29.66,71.74,667.48,2345.0,2026-01-06,2026-02-24,126400.0,niumoney
49,42089,小笨恒力一号,大连良运,0.0051,0.0,-888600.0,-99.49,99.72,5.25,0.0,2105.19,2026-01-08,2026-02-11,897500.0,niumoney
50,40205,耐金V,长安期货,1.2693,17400.0,4110.32,26.93,12.46,90.44,26.36,1985.0,2026-01-05,2026-02-24,15300.0,niumoney
51,41382,牛钱进取5号,海通期货,1.0011,5004300.0,5451.09,0.11,4.05,56.76,12484.1,1967.0,2026-01-05,2026-02-24,5792.03,niumoney
52,41585,联唐一号,国信期货,1.7685,3115100.0,2243900.0,76.85,21.43,84.56,6736.7,1889.29,2026-01-05,2026-02-24,2300300.0,niumoney
53,40688,受伤DE小鱼,宏源期货,6.5157,2046600.0,552800.0,551.57,32.93,84.12,6749.47,1831.01,2026-01-05,2026-02-13,1384000.0,niumoney
54,34287,信必得着,国联期货,1.8917,267300.0,126000.0,89.17,6.8,96.22,147.49,1795.0,2026-01-06,2026-02-25,151800.0,niumoney
55,42304,轻舞飞扬,宝城期货,1.0518,1016400.0,52600.0,5.18,0.84,64.56,4103.05,1765.2,2026-01-06,2026-02-13,1015400.0000000001,niumoney
56,35963,趋势赢家,东航期货,0.3995,53099.99999999999,-44100.0,-60.05,66.5,62.74,6481.35,1749.67,2026-01-05,2026-02-25,94900.0,niumoney
57,36957,雨花石,徽商期货,0.3855,58500.0,-69800.0,-61.45,99.93,0.0,2098.0,1735.0,2026-01-08,2026-02-24,71000.0,niumoney
58,42322,zz,中财期货,0.9612,2019300.0,-81600.0,-3.88,6.02,44.61,346.39,1595.41,2026-01-09,2026-02-13,2114000.0,niumoney
59,41762,哈维斯特,渤海期货,1.0508,12500.0,676.9,5.08,22.54,85.02,5849.82,1543.74,2026-01-06,2026-02-13,13600.000000000002,niumoney
60,42123,顶佳福,民生期货,2.2514,532800.0,646200.0,125.14,24.9,84.26,4491.17,1524.2,2026-01-07,2026-02-24,1098900.0,niumoney
61,42320,无声B,徽商期货,2.932,1582100.0,722700.0,193.2,23.3,86.52,30529.83,1402.97,2026-01-05,2026-02-24,816500.0,niumoney
62,42205,牛钱进取2,大地期货,0.9509,2266400.0,-11299.999999999998,-4.91,33.24,37.25,14041.45,1356.55,2026-01-05,2026-02-24,4173100.0,niumoney
63,41678,千裕鑫石,迈科期货,1.4386,357600.0,123900.0,43.86,13.58,94.27,4234.42,1177.77,2026-01-05,2026-02-24,285800.0,niumoney
64,38517,哈爱好哈1,盛达期货,0.0017,1431.27,-727600.0,-99.83,99.83,5.0,1479.2,1158.52,2026-01-05,2026-02-25,606500.0,niumoney
65,40987,稳行-套利2号,国元海勤,2.0119,321200.0,161500.0,101.19,7.09,96.87,3093.5,1119.69,2026-01-05,2026-02-13,129200.0,niumoney
66,37570,守正出奇,宏源期货,0.751,127800.0,-42500.0,-24.9,31.64,68.63,1463.87,1005.14,2026-01-05,2026-02-25,150900.0,niumoney
67,41672,风1,瑞龙期货,1.1585,14200.0,2068.27,15.85,12.13,88.93,307.18,910.0,2026-01-07,2026-02-24,13000.0,niumoney
68,40820,kyle_梁生,中信建投,1.3577,20800.0,35600.0,35.77,64.41,90.7,5194.42,770.0,2026-01-05,2026-02-24,37500.0,niumoney
69,41687,小胖叔叔,徽商期货,0.0092,820.74,-88800.00000000001,-99.08,99.9,57.36,333.19,720.55,2026-02-04,2026-02-24,89600.00000000001,niumoney
70,42222,dong,北方期货,0.6704,180300.0,-72100.0,-32.96,55.39,65.67,3623.05,689.7,2026-01-06,2026-02-24,219200.00000000003,niumoney
71,40230,小恶魔,华闻期货,0.1579,28700.0,-123699.99999999999,-84.21,91.14,59.38,5972.36,641.86,2026-01-08,2026-02-24,215700.0,niumoney
72,41649,毛丑丽丽,上海中期,0.9162,1915300.0,-175200.0,-8.38,17.66,33.28,2885.81,638.13,2026-01-05,2026-02-24,2022600.0,niumoney
